# Deltas this encoder produces, one per line: name, then the delta in hex.
# Regenerate with: go test -run TestGolden -update
both-empty 300a303a303b
delete-from-middle 464b0a464b40336c2c3261676b39763b
truncated-by-half 41300a41304041302c337a564244303b
doubled 64300a4b3040302c4b3040302c3375786870303b
reversed 4b300a4b303a2d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168732d64616f6c7961702d79646f622d6465726168733375564762303b
json-1kb 47420a473a7b2276657273696f6e223a3030303032467740472c32374379416c3b
json-16kb 34304e0a473a7b2276657273696f6e223a303030303234303740472c4d6c7173353b
json-64kb 4730420a473a7b2276657273696f6e223a3030303032467e7740472c31497e746a6c3b
zeros-8kb 3230300a466440316c472c313a017a6c403131472c6d63403145472c31303030303b
abab-8kb 3230300a7a6c403131472c314740317a6c2c313a637a6d403131462c314540317a6c2c4c326d30303b
high-bytes 3130300a6e304045302c45304057472c3269695267383b
